Station Code, RoadNo, Lat, Lon
BAY,R2,15.144189,76.921405
BAY,R2,15.144185,76.9214
BAY,R2,15.144181,76.921394
BAY,R2,15.144176,76.921387
BAY,R2,15.144171,76.921381
BAY,R2,15.144166,76.921373
BAY,R2,15.144161,76.921365
BAY,R2,15.144155,76.921357
BAY,R2,15.144149,76.921348
BAY,R2,15.144142,76.921339
BAY,R2,15.144136,76.921329
BAY,R2,15.144128,76.921319
BAY,R2,15.14412,76.921308
BAY,R2,15.144113,76.921297
BAY,R2,15.144105,76.921286
BAY,R2,15.144096,76.921274
BAY,R2,15.144088,76.921261
BAY,R2,15.144079,76.921248
BAY,R2,15.144069,76.921235
UBL,R7,15.348756,75.153604
UBL,R7,15.348761,75.15358
UBL,R7,15.348767,75.153554
UBL,R7,15.348772,75.153529
UBL,R7,15.348777,75.153504
UBL,R7,15.348782,75.153479
UBL,R7,15.348787,75.153455
UBL,R7,15.348792,75.153431
UBL,R7,15.348797,75.153407
UBL,R7,15.348802,75.153383
UBL,R7,15.348807,75.153359
UBL,R7,15.348812,75.153336
UBL,R7,15.348817,75.153313
UBL,R7,15.348822,75.15329
UBL,R7,15.348827,75.153267
UBL,R7,15.348831,75.153245
UBL,R7,15.348836,75.153222
UBL,R7,15.348841,75.1532
UBL,R7,15.348846,75.153179
UBL,R7,15.348852,75.153157
UBL,R7,15.348857,75.153136
UBL,R7,15.348862,75.153115
UBL,R7,15.348867,75.153094
UBL,R7,15.348872,75.153073
UBL,R7,15.348878,75.153052
UBL,R7,15.348884,75.153031
UBL,R7,15.34889,75.153011
UBL,R7,15.349399,75.15182
UBL,R7,15.349418,75.151794
UBL,R7,15.349434,75.151773
UBL,R7,15.349448,75.151755
UBL,R7,15.349462,75.151734
UBL,R7,15.349476,75.151711
UBL,R7,15.349491,75.151689
UBL,R7,15.349504,75.151668
UBL,R7,15.349517,75.151645
UBL,R7,15.349531,75.151623
UBL,R7,15.349544,75.151603
UBL,R7,15.349557,75.151581
UBL,R7,15.349571,75.151558
UBL,R7,15.349584,75.151535
UBL,R7,15.349599,75.151513
UBL,R7,15.349613,75.151491
UBL,R7,15.349626,75.151468
